Date,Address,Postcode,Type,New-build,Tenure,Bedrooms,"Price paid",Lat,Lng,URL
"2022-08-23 00:00:00","Flat 96, Dawes House, Orb Street","SE17 1RD",Flat,"Old stock",Leasehold,3,451000,51.4902993,-0.08893,https://propertydata.co.uk/transaction/F87E72F9-7DE3-176C-E053-6B04A8C0D2BE
"2022-08-22 00:00:00","23, Oxley Close","SE1 5HF","Terraced house","Old stock",Freehold,2,495000,51.489189,-0.0716475,https://propertydata.co.uk/transaction/EA3278AA-9553-2676-E053-6B04A8C015F8
"2022-08-18 00:00:00","Flat 7, 37, Bagshot Street","SE17 2QW",Flat,"Old stock",Leasehold,1,342000,51.4868126,-0.0808223,https://propertydata.co.uk/transaction/EA3278AA-9255-2676-E053-6B04A8C015F8
"2022-08-18 00:00:00","4, Longfellow Way","SE1 5TB","Terraced house","Old stock",Freehold,1,526000,51.4901238,-0.0738121,https://propertydata.co.uk/transaction/EA3278AA-8FCC-2676-E053-6B04A8C015F8
"2022-08-15 00:00:00","44, Henshaw Street","SE17 1PD","Terraced house","Old stock",Freehold,3,835000,51.4928403,-0.0897889,https://propertydata.co.uk/transaction/EA3278AA-952F-2676-E053-6B04A8C015F8
"2022-07-29 00:00:00","Flat 34, Povey House, Beckway Street","SE17 1TP",Flat,"Old stock",Leasehold,3,380000,51.490712,-0.0839141,https://propertydata.co.uk/transaction/EA3278AA-90A6-2676-E053-6B04A8C015F8
"2022-07-29 00:00:00","Flat 52, Trafalgar House, Bronti Close","SE17 2HF",Flat,"Old stock",Leasehold,2,325000,51.4879728,-0.0929597,https://propertydata.co.uk/transaction/EA3278AA-8FEC-2676-E053-6B04A8C015F8
"2022-07-15 00:00:00","9, Keats Close","SE1 5TZ","Terraced house","Old stock",Freehold,4,544000,51.4907273,-0.0755152,https://propertydata.co.uk/transaction/E7B085FC-DF18-7E31-E053-6C04A8C0E67F
"2022-07-15 00:00:00","39, Chaucer Drive","SE1 5TA","Terraced house","Old stock",Freehold,2,483782,51.4898448,-0.0743424,https://propertydata.co.uk/transaction/E7B085FC-DA1C-7E31-E053-6C04A8C0E67F
"2022-07-08 00:00:00","25, Searles Road","SE1 4YU","Terraced house","Old stock",Freehold,5,907000,51.4937541,-0.0874714,https://propertydata.co.uk/transaction/EED73E76-B0C8-6AF3-E053-6C04A8C08ABA
"2022-06-30 00:00:00","110, Chaucer Drive","SE1 5RG",Flat,"Old stock",Leasehold,3,370000,51.4893214,-0.073858,https://propertydata.co.uk/transaction/E53EDD2E-5191-83EC-E053-6B04A8C03A59
